time,-p1,-p10,-p11,-p12,-p13,-p14,-p15,-p16,-p17,-p18,-p19,-p2,-p20,-p3,-p4,-p5,-p6,-p7,-p8,-p9,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
370,861.13589172706,860.10383061612,856.09372254717,846.13526466952,824.71047639449,783.5556306949,712.52084439548,602.0626560871,447.17445004454,251.39836220681,28.715162329312,26.370661533737,23.955854517368,21.475625857025,18.935474244828,16.341469942422,13.700204038752,11.018730183779,8.3044995981214,5.5652902727437,2.8091313713629,2.5322252929622,2.2540633398403,1.9747797880236,1.6945107563907,1.4133939860349,1.1315686157667,0.84917495428831,0.56635424958096,0.28324845605242,0
380,860.84781958776,859.68153629686,855.23206474981,844.44842535905,821.77318379286,779.06403650393,706.5472459825,595.28623847209,440.90478055582,247.25298082296,27.998558637423,25.695966410516,23.329010627177,20.902258377513,18.420812755902,15.890275151598,13.316700561534,10.70654650224,8.0666162043415,5.4039968689704,2.7259938487538,2.4570238825741,2.1869160266334,1.915792150071,1.6437757192906,1.3709916065436,1.0975658952386,0.82362568243017,0.54929887894241,0.27471400759495,0
390,860.52040079184,859.21402561758,854.31202085843,842.69575786193,818.78705138398,774.58029165957,700.67517410307,588.71039282883,434.88580955677,243.31158617157,27.33888415741,25.075943421847,22.753849229287,20.376883600052,17.94979788101,15.477779213437,12.96641104889,10.421628208507,7.8496670713669,5.2570115580316,2.6503356450296,2.3886032288488,2.1258355085078,1.8621435516175,1.5976398143833,1.3324379750316,1.066652764456,0.80039979446589,0.53379538402686,0.26695638388876,0
400,860.15176448032,858.70009548232,853.33437503278,840.88096553418,815.75826168421,770.11031909803,694.90573530018,582.32770788745,429.10243675863,239.55831368152,26.729361534479,24.504007063346,22.224082025575,19.893611692151,17.517033623167,15.099167752123,12.645181382427,10.160549523268,7.6510110672491,5.122521379926,2.5812019307511,2.3260966422984,2.0700455242478,1.8131502106607,1.5555135465466,1.2972394424546,1.0384327266962,0.77919899552845,0.51964446162752,0.25987580118973,0
410,859.74023995122,858.13874510762,852.3000640392,839.00769842522,812.69258111091,765.65932389886,689.23943235901,576.13087484218,423.54064104693,235.97886727285,26.164169015901,23.974506822107,21.734318761577,19.447398157159,17.117901723551,14.750322790004,12.349460164863,9.9203830104354,7.4683921604713,4.9989783698568,2.5177780356019,2.2687647407014,2.0188839055099,1.7682288986218,1.5168941480421,1.2649750138422,1.0125676587974,0.75976891728316,0.50667616271443,0.25338717381393,0
420,859.28435879619,857.52916890417,851.21015248896,837.07952684251,809.59536720707,761.2318578601,683.67625965448,570.1127338254,418.18740567726,232.560343224,25.638294112359,23.48258334596,21.279928551036,19.033912875168,16.748440844331,14.427714315982,12.076204690729,9.6986217008875,7.2998791490889,4.8850580184454,2.4593674166744,2.215975428783,1.9717846275951,1.7268811157548,1.4813519257793,1.2352849081683,0.98876861778774,0.74189219876664,0.49474526814731,0.24741779853586,0
430,858.78285400352,856.87074791544,850.06581052996,835.09992062027,806.47157994357,756.83188015266,678.2157857712,564.26630837914,413.03064618191,229.29107500418,25.147410759491,23.02404778776,20.856923608307,18.649430355846,16.4052453604,14.128309481841,11.822802224598,9.4931139094461,7.1438152244848,4.7796245182226,2.4053732335397,2.1671871564831,1.9282628005083,1.6886798594709,1.4485188461279,1.2078609934957,0.96678815472951,0.7253827017287,0.48372742267543,0.24190541871634,0
440,858.234656562,856.16304022234,848.86829395085,833.0722333642,803.32579608602,752.46281390139,672.85722493666,558.58483025896,408.05914167857,226.1604966051,24.687776111328,22.595280498902,20.461861679988,18.290737684339,16.085380499916,13.849496489902,11.587004032393,9.302008623598,6.9987757236595,4.6817016588151,2.3552829239299,2.1219349045724,1.8879021057638,1.653258549329,1.4180789807148,1.1824387817306,0.94641388202051,0.71008066944165,0.47351589952622,0.23679660420876,0
450,857.63888993723,855.40577054472,847.61892648515,830.9996908741,800.16222567097,748.12759855724,667.59949854349,553.06175637793,403.26246988503,223.15902205108,24.256143658095,22.193145803536,20.091764010611,17.955057161475,15.786311062124,13.589020685305,11.366870011997,9.1237096811558,6.8635326903791,4.5904484195785,2.308655274913,2.0798184385155,1.850344267246,1.6203017456628,1.3897604999486,1.1587907204553,0.92746308315683,0.69584867016084,0.46401888943262,0.23204539388626,0
460,856.99486291426,854.59881938638,846.31908423999,828.8853831744,796.98472995871,743.82873819223,662.44128806561,547.69077953002,398.63094611396,220.27793919271,23.849690045757,21.814920262288,19.744046332615,17.639981257734,15.505841505436,13.344930858507,11.160722181032,8.9568372863677,6.7370251180911,4.5051384801042,2.2651095738849,2.0404924525485,1.8152802169647,1.5895373626504,1.3633289560101,1.1367205653448,0.90977819091944,0.68256819421827,0.45515722652054,0.22761215693105,0
